symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
A,C[C@H](N[*])C([*])=O |$;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dA,C[C@@H](N[*])C([*])=O |$;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meA,C[C@H](N(C)[*])C([*])=O |$;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_dA,C[C@@H](N(C)[*])C([*])=O |$;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ala(tBu),CC(C)(C)C[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ala(indol-2-yl),[*]N[C@@H](Cc1cc2ccccc2[nH]1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dAla(indol-2-yl),[*]N[C@H](Cc1cc2ccccc2[nH]1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Ala(indol-2-yl),CN([*])[C@@H](Cc1cc2ccccc2[nH]1)C([*])=O |$;;_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Ala(5-Tet),[*]N[C@@H](Cc1nnn[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Abu,CC[C@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dAbu,CC[C@@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Abu,CC[C@H](N(C)[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_dAbu,CC[C@H](C([*])=O)N(C)[*] |$;;;;_R2;;;;_R1$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Abu(morpholino),CN([*])[C@@H](CCN1CCOCC1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
2Abz,[*]Nc1ccccc1C([*])=O |$_R1;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Aib,CC(C)(N[*])C([*])=O |$;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Aoc(2),CCCCCC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
5-Ava,[*]NCCCCC([*])=O |$_R1;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Bal,[*]NCCC([*])=O |$_R1;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Bal,CN([*])CCC([*])=O |$;;_R1;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
HOCOCH2_Bal,[*]N(CCC(=O)O)CC([*])=O |$_R1;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Cys(EtO2H)_NH2,[*]N[C@@H](CSCC([*])=O)C(N)=O |$_R1;;;;;;;_R2;;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Cha,[*]N[C@@H](CC1CCCCC1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dCha,[*]N[C@H](CC1CCCCC1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Cha,CN([*])[C@@H](CC1CCCCC1)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
D,[*]N[C@@H](CC([*])=O)C([*])=O |$_R1;;;;;_R3;;;_R2;$|,H,OH,OH,CycPeptMPDB,flexible,True,full
meD,CN([*])[C@@H](CC([*])=O)C([*])=O |$;;_R1;;;;_R3;;;_R2;$|,H,OH,OH,CycPeptMPDB,flexible,True,full
Asp_piperidide,[*]N[C@@H](CC([*])=O)C(=O)N1CCCCC1 |$_R1;;;;;_R2;;;;;;;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Asp(OMe),COC(=O)C[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
