symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
X2484,CC(=O)SCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X414,[*]N(CC([*])=O)c1ccccc1 |$_R1;;;;_R2;;;;;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X508,FC(F)(F)CC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
Aib_OMe,COC(=O)C(C)(C)N[*] |$;;;;;;;;_R1$|,H,-,-,HELM-GPT,C_terminal_only,False,none
Boc_V,CC(C)[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X1648,OC(=O)COC(=O)[C@@H]1CCCN1[*] |$;;;;;;;;;;;;_R1$|,H,-,-,HELM-GPT,C_terminal_only,False,none
X2263,OS(=O)(=O)Oc1ccc(C[C@H](NC(=O)OCc2ccccc2)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;;;;;_R2;;;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X2236,C[N+](C)(C)[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X2239,NC(=N)NCCC[C@H](NCCCCCC(=O)[C@H](CC(O)=O)N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
dPhe(4-Cl),Clc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,H,OH,-,HELM-GPT,flexible,False,none
d3-Pal,[*]N[C@H](Cc1cccnc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1,[*]NC1(CCCCC1)C([*])=O |$_R1;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X945,C[C@H]([C@@H](N[*])C([*])=O)c1ccc(O)cc1 |$;;;;_R1;;_R2;;;;;;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X807,COC(=O)[C@H](Cc1cccc(OC(=O)c2ccccc2)c1)N[*] |$;;;;;;;;;;;;;;;;;;;;;;_R1$|,H,-,-,HELM-GPT,C_terminal_only,False,none
dSer(Bzl),[*]N[C@H](COCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1032,CCCc1ncc(C[C@H](N[*])C([*])=O)[nH]1 |$;;;;;;;;;;_R1;;_R2;;$|,H,OH,-,HELM-GPT,flexible,False,none
X824,CC1(C)CC[C@H](N1[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1157,[*]N1C[C@@H](C[C@H]1C([*])=O)Oc1cccc2ccccc12 |$_R1;;;;;;;_R2;;;;;;;;;;;;$|,H,OH,-,HELM-GPT,flexible,False,none
Me_P,CN1CCC[C@H]1C([*])=O |$;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X1035,C[C@](Cc1ccccc1)(N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1211,CC(C)(C)c1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X1163,CC(C)[C@H](N[*])C(=O)c1ncco1 |$;;;;;_R1;;;;;;;$|,H,-,-,HELM-GPT,C_terminal_only,False,none
X865,COc1ccc(CCN([*])CC([*])=O)cc1 |$;;;;;;;;;_R1;;;_R2;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X862,OC(=O)CC[C@H](NCCc1ccc2ccc3cccc4ccc1c2c34)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X935,CCCNC(=N)NCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X726,NCCCN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1915,CC(C)(C)[Si](C)(C)OCC(=C)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1697,COC(=O)CCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1770,"[*]N1N=CC=C[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:2,4|",H,OH,-,HELM-GPT,flexible,False,none
X1935,COC(=O)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1971,NC(=N)NCC[C@@H]1CCN([*])[C@@H]1C([*])=O |$;;;;;;;;;;_R1;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1684,CC(C)[C@@H](O)[C@@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1838,Cc1ccc(cc1)S(=O)(=O)OCCOC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1854,"CCC=CC[C@@H](C)C[C@H](N(C)[*])C([*])=O |w:3.3,$;;;;;;;;;;;_R1;;_R2;$|",H,OH,-,HELM-GPT,flexible,False,none
X1856,C[C@H](C[C@@H]1C[C@H]1C)[C@@H](O)[C@H](N(C)[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1862,CN([*])[C@H](CCCCNC(=O)OCc1ccc(Cl)cc1)C([*])=O |$;;_R1;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1793,[*]N[C@@H](CC(=O)c1ccccc1N(=O)=O)C([*])=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1794,[*]N[C@@H](Cc1cn(CN2CCCC2)c2ccccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1724,[*]N[C@]1(C[C@@H]1c1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1799,N[C@@H]1C[C@H](N([*])C1)C([*])=O |$;;;;;_R1;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1816,OCCOC[C@@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1884,[*]N[C@]1(C[C@H]1c1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1751,[*]N[C@H](C([*])=O)c1ccc2ccccc2c1 |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X1802,Clc1[nH]c2ccccc2c1C[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1808,CN([*])[C@H](CC#C)C([*])=O |$;;_R1;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X1782,CC(C)[C@](N[*])(C([*])=O)C(F)(F)F |$;;;;;_R1;;_R2;;;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X66,CC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X422,[*]N[C@@H](CCCCC=C)C([*])=O |$_R1;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X283,CC[C@H](N[*])C=O |$;;;;_R1;;$|,H,-,-,HELM-GPT,C_terminal_only,False,none
dNal,[*]N[C@H](Cc1ccc2ccccc2c1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X221,[*]N[C@H](CCCCCC=C)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X223,[*]N[C@@H](CCCCCCC=C)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X129,FC(F)(F)[C@]1(CCCN1)C([*])=O |$;;;;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X136,Fc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X137,[*]N[C@@H](COC(=O)c1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X168,CC[C@H](C)N([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
Cbz_I,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X227,OC(=O)CC[C@H](NCCCc1ccc(Cl)c(Cl)c1)C([*])=O |$;;;;;;;;;;;;;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X351,COc1ccc(c(C)c1)-c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;;;;;;_R1;;_R2;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X427,OC(=O)CC[C@H](NCCC1CCCCC1)C([*])=O |$;;;;;;;;;;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X2202,CC(C)C[C@@H](N[*])C(=O)OCOC(=O)N[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;_R1;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X2671,[*]N[C@@H](Cc1cn(CCCCCCCCc2ccccc2)cn1)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X2793,Cc1ccccc1NC(=S)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
X2818,"NC(=[NH+]CCC[C@H](N[*])C([*])=O)N1CCCC1 |w:2.2,$;;;;;;;;_R1;;_R2;;;;;;$|",H,OH,-,HELM-GPT,flexible,False,none
X2804,CCCCCCCCCCCCNCCCC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,H,OH,-,HELM-GPT,flexible,False,none
Cbz_Ser(Bzl),[*]C(=O)[C@H](COCc1ccccc1)NC(=O)OCc1ccccc1 |$_R2;;;;;;;;;;;;;;;;;;;;;;;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X2838,CC#Cc1ccccc1C(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(C)=O |$;;;;;;;;;;;;;;;;;;;;;;_R2;;;;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X1995,CSCC[C@H](N[*])C(=O)NC(C)=O |$;;;;;;_R1;;;;;;$|,H,-,-,HELM-GPT,C_terminal_only,False,none
X2810,CC(C)C[C@H](NS(=O)(=O)c1ccc(C)cc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X2811,CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(=O)c1ccccc1N |$;;;;;;;;;;;;;;_R2;;;;;;;;;;$|,-,OH,-,HELM-GPT,N_terminal_only,False,none
X2751,CCOC(=O)[C@H](Cc1ccc2ccccc2c1)N[*] |$;;;;;;;;;;;;;;;;;;_R1$|,H,-,-,HELM-GPT,C_terminal_only,False,none
X2766,COc1cc(C)c([C@@H](C)[C@H](N[*])C([*])=O)c(C)c1 |$;;;;;;;;;;;_R1;;_R2;;;;$|,H,OH,-,HELM-GPT,flexible,False,none
X2715,[*]N[C@@H](Cc1c[nH]c2ccccc12)C(=O)c1nccs1 |$_R1;;;;;;;;;;;;;;;;;;;$|,H,-,-,HELM-GPT,C_terminal_only,False,none
X2705,OC(=O)[C@@]1(C[C@@H]1Cc1ccccc1)N[*] |$;;;;;;;;;;;;;;_R1$|,H,-,-,HELM-GPT,C_terminal_only,False,none
