symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
IEP,*N[C@H](C(*)=O)[C@H](C#N)c1ccc(OCC(C)C)cc1 |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
VEQ,*N[C@H](C(*)=O)c1[nH]c(C)c(Br)c1C |$_R1;;;;_R2;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
KC3,*N[C@H](C(*)=O)c1cc(C(C)C)c(O)cc1C |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
MNI,*N[C@H](C(*)=O)C(=O)CO |$_R1;;;;_R2;;;;;$|,H,OH,H,NNAA,flexible,True,struct_only
G8D,*N[C@H](C(*)=O)c1ccc2n1[C@H](C)CC2 |$_R1;;;;_R2;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
MLB,*N[C@H](C(*)=O)c1ccc2n1CCC2 |$_R1;;;;_R2;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
P54,*N[C@@H](CSC(C)C)C(*)=O |$_R1;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
12S,*N[C@H](C(*)=O)C(=O)c1ccc(NC(C)=O)cc1 |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
DVU,*N[C@H](C(*)=O)C1CCN(C(=O)C(C)(C)n2cncn2)CC1 |$_R1;;;;_R2;;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
4R8,*N[C@H](C(*)=O)C1CCN(C(=O)Cc2nonc2C)CC1 |$_R1;;;;_R2;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
BDK,*N[C@@H](CC(=O)N1CCC[C@H]1CCc1ccncc1)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
2IW,*N[C@@H](CC(=O)N1CCO[C@@](C)(C(=O)NC)C1)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
YNI,*N[C@@H](CC(=O)N1CC[N@H+](C)C[C@@H](C(=O)NC)C1)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
ZH2,*N[C@@H](Cn1c(-c2ccccn2)cc2cccnc21)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
EW1,*N[C@H](C(*)=O)c1ccc(OC(=O)c2cccc(Br)c2)cc1 |$_R1;;;;_R2;;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
4EP,*N[C@@H](COC(C)(C)C)C(*)=O |$_R1;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
MNT,*N[C@H](C(*)=O)[C@@H](C)OC(C)(C)C |$_R1;;;;_R2;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
UCM,*N[C@@H](CCS(=O)(=O)O)C(*)=O |$_R1;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
6EI,*N[C@@H](Cc1cc(=O)oc2cc(OC(C)=O)ccc12)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
VIE,*N[C@H](C(*)=O)c1c(C(=O)O)c(C)cn1C |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
9D0,*N[C@@H](CC(CO)(CO)CO)C(*)=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,H,NNAA,flexible,True,struct_only
9WB,*N[C@H](C(*)=O)[C@@H]1OC(C)(C)OC1=O |$_R1;;;;_R2;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
0BM,*N[C@H](C(*)=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OC |$_R1;;;;_R2;;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
06H,*N[C@H](C(*)=O)c1c(Cl)c2cc(Br)ccc2oc1=O |$_R1;;;;_R2;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
Z18,*N[C@@H](CCOc1ccc(CO)c(OC)c1)C(*)=O |$_R1;;;;;;;;;;;;;;;;;_R2;$|,H,OH,H,NNAA,flexible,True,struct_only
20O,*N[C@@H](Cn1oc(=O)[n-]c1=O)C(*)=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
